"","TOT_FLY_OPS","TOT_DIR_MAINT","TOTAL_AIR_HOURS","AIRCRAFT_CONFIG","UNIQUE_CARRIER_NAME","CARRIER","REGION","YEAR","QUARTER","time_pt","AC_GROUP","SSD_NAME","MANUFACTURER","LONG_NAME","SHORT_NAME","BEGIN_DATE"
"16024",23365,3270,4.6,1,"Delta Air Lines Inc.","DL","A",2005,1,2005.1,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16025",21681.94,6103.9,10.07,1,"Allegiant Air","G4","D",2016,3,2016.3,6,"A319","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A319","A319","1/1/1997 12:00:00 AM"
"16026",54606.53,5938.78,13.08,1,"US Airways Inc.","US","A",2007,3,2007.3,6,"BOEING 767-200/ER","BOEING","BOEING 767-200/ER/EM","B767-2/R","1/1/1990 12:00:00 AM"
"16027",29505,4063,5.28,1,"Alaska Airlines Inc.","AS","D",2018,2,2018.2,6,"A319","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A319","A319","1/1/1997 12:00:00 AM"
"16028",23066.03,4603.56,3.37,2,"United Parcel Service","5X","L",2014,4,2014.4,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16029",30384.15,2097.43,2.87,2,"United Parcel Service","5X","A",2019,3,2019.3,8,"BOEING B747-8","BOEING","BOEING B747-8","B747-8","1/1/2010 12:00:00 AM"
"16030",47237,4730,6.5,1,"American Airlines Inc.","AA","L",2009,2,2009.2,6,"A300-600/R/CF/RCF","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A300-600/R/CF/RCF","A300-6","1/1/1990 12:00:00 AM"
"16031",36468.35,13253,11.33,1,"Sun Country Airlines d/b/a MN Airlines","SY","D",2017,3,2017.3,6,"BOEING 737-800","BOEING","BOEING 737-800","B737-8","1/1/1998 12:00:00 AM"
"16032",31932.25,5122.29,2.49,1,"American Airlines Inc.","AA","D",2024,2,2024.2,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16033",32776,2485,6.79,1,"Alaska Airlines Inc.","AS","D",2018,4,2018.4,6,"A321-200N","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A321-200N","A321NEO","1/1/2017 12:00:00 AM"
"16034",20419.25,5773.53,4.1,1,"American Airlines Inc.","AA","L",2023,2,2023.2,6,"A321-200N","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A321-200N","A321NEO","1/1/2017 12:00:00 AM"
"16035",15529.93,5408.65,4.39,2,"Atlas Air Inc.","5Y","I",2014,4,2014.4,8,"BOEING B747-8","BOEING","BOEING B747-8","B747-8","1/1/2010 12:00:00 AM"
"16036",32075.11,9160.82,4.51,1,"US Airways Inc.","US","A",2013,1,2013.1,6,"BOEING 767-200/ER","BOEING","BOEING 767-200/ER/EM","B767-2/R","1/1/1990 12:00:00 AM"
"16037",36914.66,7785.65,4.05,2,"Atlas Air Inc.","5Y","I",2011,2,2011.2,8,"BOEING 747-200/300","BOEING","BOEING 747-200/300","B747-2/3","1/1/1990 12:00:00 AM"
"16038",29528.79,10808.48,7.48,1,"United Air Lines Inc.","UA","D",2016,1,2016.1,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16039",16444.91,7224.49,2.4,1,"United Air Lines Inc.","UA","A",2021,1,2021.1,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16040",10734,662,1.03,1,"Delta Air Lines Inc.","DL","D",2020,2,2020.2,6,"A320-100/200","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A320-100/200","A320-1/2","1/1/1990 12:00:00 AM"
"16041",31435,4858,9.95,1,"Continental Air Lines Inc.","CO","D",2007,3,2007.3,6,"BOEING 737-900","BOEING","BOEING 737-900","B737-9","4/1/2002 12:00:00 AM"
"16042",22690,10734,7.37,1,"Alaska Airlines Inc.","AS","D",2018,1,2018.1,6,"BOEING 737-900","BOEING","BOEING 737-900","B737-9","4/1/2002 12:00:00 AM"
"16043",55021,8153,10.39,1,"United Air Lines Inc.","UA","D",2005,3,2005.3,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16044",58458.59,8891.95,4.84,1,"United Air Lines Inc.","UA","A",2013,2,2013.2,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16045",19226,11036,3.06,2,"Federal Express Corporation","FX","D",2015,3,2015.3,6,"A310-200C/F","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A310-200C/F","A310-2CF","1/1/1990 12:00:00 AM"
"16046",22212.08,4428.37,3.62,1,"American Airlines Inc.","AA","L",2019,1,2019.1,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16047",14360,937,2.4,2,"Federal Express Corporation","FX","L",2021,1,2021.1,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16048",17220.25,5210.38,6.74,1,"United Air Lines Inc.","UA","L",2016,1,2016.1,6,"BOEING 737-700/LR","BOEING","BOEING 737-700/700LR/MAX 7","B737-7","1/1/1998 12:00:00 AM"
"16049",18223,6582,3.55,2,"United Parcel Service","5X","L",2005,3,2005.3,6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2","1/1/1990 12:00:00 AM"
"16050",53038,4415,19.01,1,"Continental Air Lines Inc.","CO","L",2006,2,2006.2,6,"BOEING 737-800","BOEING","BOEING 737-800","B737-8","1/1/1998 12:00:00 AM"
